,energy,mu
0,9628.954372,0.005710287303121883
1,9633.954372,0.0020576490038537038
2,9637.954372,-0.00015987357028603055
3,9640.954372,-0.001938567433577478
4,9642.954372,-0.001797038838199998
5,9643.954372,-0.0020542127785199977
6,9644.154372,-0.0023330113070345986
7,9644.354372,-0.0016971850431610775
8,9644.554372,-0.0006526069798285699
9,9644.754372,-0.0013831451366133403
10,9644.954372,-0.0009586822041745261
11,9645.154372,-0.000346198963251259
12,9645.354372,-0.0009948728775910104
13,9645.554372,-0.0020921376019023617
14,9645.754372,-0.002693274463582874
15,9645.954372,-0.0031651934942262634
16,9646.154372,-0.002626441562147542
17,9646.354372,-0.0015936969916496503
18,9646.554372,-0.002158968431033436
19,9646.754372,-0.0015042878070845788
20,9646.954372,-0.0007485878953939085
21,9647.154372,-0.001320928531060866
22,9647.354372,-0.0005957223108100897
23,9647.554372,0.00015348515019373714
24,9647.754372,0.0009489025682407465
25,9647.954372,0.0011853528955203662
26,9648.154372,0.0015724225524038802
27,9648.354372,0.0015035432468088763
28,9648.554372,0.0018140086596469401
29,9648.754372,0.0012172287562662628
30,9648.954372,0.0014393358261293751
31,9649.154372,0.001464495852085125
32,9649.354372,0.0002443762586214222
33,9649.554372,9.65399138877324e-05
34,9649.754372,0.0002680086430401643
35,9649.954372,0.0005610763816959393
36,9650.154372,0.0016168630473415947
37,9650.354372,0.0013225707522455455
38,9650.554372,0.002094162719450403
39,9650.754372,0.0011032656713085122
40,9650.954372,0.000691307601486686
41,9651.154372,0.0006575323926597182
42,9651.354372,0.0023263534195470765
43,9651.554372,0.002765865605760512
44,9651.754372,0.0009515773966196041
45,9651.954372,0.0020092715833275854
46,9652.154372,0.004135272053817735
47,9652.354372,0.0035019165397031805
48,9652.554372,0.004042985366187742
49,9652.754372,0.005687612491785485
50,9652.954372,0.007566094607017071
51,9653.154372,0.006911580865747875
52,9653.354372,0.007279935623225706
53,9653.554372,0.010289778714583303
54,9653.754372,0.008388801079462561
55,9653.954372,0.006965163499686354
56,9654.154372,0.01046247302465013
57,9654.354372,0.01264555304505953
58,9654.554372,0.012174544169274297
59,9654.754372,0.01171057297300059
60,9654.954372,0.015573591365669121
61,9655.154372,0.01780205052283361
62,9655.354372,0.02001426769465743
63,9655.554372,0.021903110797364612
64,9655.754372,0.02438902858808939
65,9655.954372,0.026757822524184786
66,9656.154372,0.027880883854903206
67,9656.354372,0.0313856125723173
68,9656.554372,0.03438131911373403
69,9656.754372,0.03804023135311935
70,9656.954372,0.04227864324186476
71,9657.154372,0.04664539843578401
72,9657.354372,0.05161076361361509
73,9657.554372,0.054885740588758794
74,9657.754372,0.06060334663159725
75,9657.954372,0.06677933884232946
76,9658.154372,0.07453507713475417
77,9658.354372,0.08551661633238344
78,9658.554372,0.09462304827791647
79,9658.754372,0.10704443298478412
80,9658.954372,0.12008562326729494
81,9659.154372,0.13610008768947895
82,9659.354372,0.15429363117920833
83,9659.554372,0.17563227322288105
84,9659.754372,0.20085786799997873
85,9659.954372,0.22790691462693657
86,9660.154372,0.2613716069589493
87,9660.354372,0.2977899959450403
88,9660.554372,0.3398650181623006
89,9660.754372,0.38620270354520425
90,9660.954372,0.4379142864772629
91,9661.154372,0.4941557498248947
92,9661.354372,0.5533795089913008
93,9661.554372,0.6154173689612126
94,9661.754372,0.6778113412892404
95,9661.954372,0.7403463392698526
96,9662.154372,0.7992648363906188
97,9662.354372,0.8511449190449545
98,9662.554372,0.8952265328336643
99,9662.754372,0.9285833146513477
100,9662.954372,0.9536372650525542
101,9663.154372,0.9682708180167451
102,9663.354372,0.9766652045491941
103,9663.554372,0.9808582425980837
104,9663.754372,0.9838291025945187
105,9663.954372,0.9852730059694835
106,9664.154372,0.9865843125570273
107,9664.354372,0.9902705632560557
108,9664.554372,0.9976063439991071
109,9664.754372,1.005709486080515
110,9664.954372,1.0168622728492673
111,9665.154372,1.0317357198769184
112,9665.354372,1.0494898997672264
113,9665.554372,1.0727955614183289
114,9665.754372,1.1031555194670086
115,9665.954372,1.1357499322002602
116,9666.154372,1.174131851730565
117,9666.354372,1.210976310197871
118,9666.554372,1.2557969893343583
119,9666.754372,1.3008674220910055
120,9666.954372,1.3528092473813698
121,9667.154372,1.4052344799182404
122,9667.354372,1.4554291836774211
123,9667.554372,1.5139088050515925
124,9667.754372,1.5704841952443054
125,9667.954372,1.6252640059548638
126,9668.154372,1.6739982593163836
127,9668.354372,1.717023960255354
128,9668.554372,1.7502958344258372
129,9668.754372,1.773586001032382
130,9668.954372,1.7856412826579064
131,9669.154372,1.787295454319097
132,9669.354372,1.7788391179249259
133,9669.554372,1.757670835585131
134,9669.754372,1.7280167970007763
135,9669.954372,1.694382921431515
136,9670.154372,1.654636969487696
137,9670.354372,1.6075069577278556
138,9670.554372,1.558642096094013
139,9670.754372,1.5069265319346266
140,9670.954372,1.4539838414220405
141,9671.154372,1.398190256402012
142,9671.354372,1.3433834407161855
143,9671.554372,1.2943678086480048
144,9671.754372,1.248507200039426
145,9671.954372,1.2034003827391668
146,9672.154372,1.1629188479071724
147,9672.354372,1.1299091204416793
148,9672.554372,1.097955535398087
149,9672.754372,1.0695980182315021
150,9672.954372,1.0439560752642971
151,9673.154372,1.0233270010505153
152,9673.354372,1.00370510855084
153,9673.554372,0.9829665107765875
154,9673.754372,0.9668530226679414
155,9673.954372,0.950121600253072
156,9674.154372,0.934018811534749
157,9674.354372,0.9182306709344894
158,9674.554372,0.9060421006971785
159,9674.754372,0.8965266769531417
160,9674.954372,0.8879119453812581
