,energy,mu
0,4766.0,0.17034090097952317
1,4771.0,0.15849337490173387
2,4776.0,0.1462125698920718
3,4781.0,0.13568682924097522
4,4786.0,0.12450310496302738
5,4791.0,0.1135821503644545
6,4796.0,0.10506288799459786
7,4801.0,0.09618892373184713
8,4806.0,0.08862377382650402
9,4811.0,0.08104163096275842
10,4816.0,0.07438381249887828
11,4821.0,0.07010088409707338
12,4826.0,0.06262249211506486
13,4831.0,0.05513258425311272
14,4836.0,0.05148650809628442
15,4841.0,0.06296207640184444
16,4846.0,0.05265003083621562
17,4851.0,0.05040170855035821
18,4856.0,0.04558234204678977
19,4861.0,0.04001581208656288
20,4866.0,0.033485943025474384
21,4871.0,0.015713793472431382
22,4876.0,0.010769701732668883
23,4881.0,0.008810969381367943
24,4886.0,0.006239805415748379
25,4891.0,0.003943802271652427
26,4896.0,0.0029951218715744427
27,4901.0,0.005658587004297118
28,4906.0,0.0003416022632292735
29,4911.0,-0.0015954823055719612
30,4916.0,-0.0029139421669586076
31,4921.0,-0.0035031727956258765
32,4926.0,0.01602105346818397
33,4931.0,0.0013487484657692386
34,4936.0,-0.002173280247373408
35,4940.0,-0.0019251179480751495
36,4943.0,-0.0024021365722813556
37,4945.0,-0.0022267211433734625
38,4946.0,-0.0017459131253771847
39,4946.2,-0.00014781661385870903
40,4946.4,-0.0017083889232858511
41,4946.6,-0.0023202037074414716
42,4946.8,-0.0007480324660074603
43,4947.0,0.00020756091706475324
44,4947.2,-0.00028238351624912893
45,4947.4,-0.0009687202349590936
46,4947.6,0.00029601854102535846
47,4947.8,0.0014115292920980045
48,4948.0,0.0010477972705748677
49,4948.2,-0.0013834212243721213
50,4948.4,-0.0005339537172597509
51,4948.6,-0.0016005375947903053
52,4948.8,-0.000728178679761086
53,4949.0,-0.0004162748556942453
54,4949.2,-0.0005588409204563459
55,4949.4,-8.951053914669135e-05
56,4949.6,0.00026570299876978024
57,4949.8,-0.001030877237531947
58,4950.0,0.0011432047604551516
59,4950.2,-0.0007566077773720938
60,4950.4,0.0016448369430152928
61,4950.6,-0.0011188324684178515
62,4950.8,-0.00194621985287042
63,4951.0,-0.0007826723458528311
64,4951.2,0.00018276547720175667
65,4951.4,0.0006066061544682925
66,4951.6,-0.0006312397367166965
67,4951.8,0.00021449715987637412
68,4952.0,0.0008771713059725501
69,4952.2,-7.174312870319523e-05
70,4952.4,-0.0012586387410900774
71,4952.6,0.0013160581944504253
72,4952.8,0.0010585356139491328
73,4953.0,0.001804041968355956
74,4953.2,0.00115640994886022
75,4953.4,0.0008734397043440584
76,4953.6,0.001344660120679435
77,4953.8,0.0014282315418017483
78,4954.0,0.0006701138375619098
79,4954.2,0.0004944132307349976
80,4954.4,-0.001210759392385551
81,4954.6,-0.0005941027257596906
82,4954.8,0.0018189595044913248
83,4955.0,0.0021413662844455518
84,4955.2,-0.00040399141576432745
85,4955.4,2.3026061792474057e-05
86,4955.6,0.00019456390589000697
87,4955.8,0.0012142735937873959
88,4956.0,0.001955427892826389
89,4956.2,0.003985374740569783
90,4956.4,0.00375002650869833
91,4956.6,0.0025652332575337392
92,4956.8,0.0028669234953916543
93,4957.0,0.0018415401271480265
94,4957.2,0.0019202850557132182
95,4957.4,0.00458380559426683
96,4957.6,0.004577254225753754
97,4957.8,0.01265291120164498
98,4958.0,0.015581001125838453
99,4958.2,0.0025042694634156326
100,4958.4,0.0035924109372810448
101,4958.6,0.0026249513941482
102,4958.8,0.0004192608087286982
103,4959.0,0.003868152054502612
104,4959.2,0.0029959606069652747
105,4959.4,0.002170449649455366
106,4959.6,0.0018549940345328267
107,4959.8,0.0030909364379687523
108,4960.0,0.0018370832964850925
109,4960.2,0.003405387063294669
110,4960.4,0.004661759853385536
111,4960.6,0.005419197850908717
112,4960.8,0.006615934196704672
113,4961.0,0.0032379469178734064
114,4961.2,0.004242185714368569
115,4961.4,0.0022555750949532125
116,4961.6,0.005336080678991791
117,4961.8,0.005984654467263029
118,4962.0,0.005365620958855428
119,4962.2,0.0063945597326810245
120,4962.4,0.005211898227774428
121,4962.6,0.0065150921210637685
122,4962.8,0.006411618531645402
123,4963.0,0.006802752586679905
124,4963.2,0.005180934215490795
125,4963.4,0.005711504398451826
126,4963.6,0.0066373005028263895
127,4963.8,0.007144306424046935
128,4964.0,0.008734661241475192
129,4964.2,0.00952019056921476
130,4964.4,0.008926650281810727
131,4964.6,0.010019746198907897
132,4964.8,0.010558967593221872
133,4965.0,0.009308231424445767
134,4965.2,0.011643883964752924
135,4965.4,0.011052212833203932
136,4965.6,0.012324260407869408
137,4965.8,0.009822028685308463
138,4966.0,0.010592190963910769
139,4966.2,0.012013345544553121
140,4966.4,0.01320678094318492
141,4966.6,0.014593925490273519
142,4966.8,0.017152342626112822
143,4967.0,0.017462021187677677
144,4967.2,0.02032383022025186
145,4967.4,0.021112562958619054
146,4967.6,0.025387760077382974
147,4967.8,0.03104736271338736
148,4968.0,0.04433522844707669
149,4968.2,0.05402633246312944
150,4968.4,0.06351018150096588
151,4968.6,0.06947815934732883
152,4968.8,0.06796342864175703
153,4969.0,0.06506789438003847
154,4969.2,0.06215147150362797
155,4969.4,0.06293670279891894
156,4969.6,0.06837778580844082
157,4969.8,0.07860513307615331
158,4970.0,0.09309573726530918
159,4970.2,0.10509260562084502
160,4970.4,0.1154198435969692
161,4970.6,0.12473632496401325
162,4970.8,0.1299578256868901
163,4971.0,0.13379362291290475
164,4971.2,0.14133434376616782
165,4971.4,0.1439265697786322
166,4971.6,0.1452232899140128
167,4971.8,0.14200620575848874
